"","logFC","logCPM","LR","PValue","FDR"
"FBgn0266227:lncRNA:CR44922",-9.41143927113891,14.4632575786674,4413.55698276907,0,0
"FBgn0038583:CG7183",-9.41143927113891,14.4593455833996,4413.55698276606,0,0
"FBgn0038202:CG12402",-9.41143927113891,14.4598025165645,4413.55698276921,0,0
"FBgn0260944:Rbp1",-9.41143927113891,14.4629800670755,4413.5569827689,0,0
"FBgn0053107:CG33107",-9.41143927113891,14.4622658715026,4413.55698276941,0,0
"FBgn0039381:SppL",-9.41143927113891,14.4628470963458,4413.55698278347,0,0
"FBgn0039406:RpL34a",-9.41143927113891,14.4686199493825,4413.55698277786,0,0
"FBgn0039223:CG5805",-9.41143927113891,14.4641332193887,4413.55698276647,0,0
"FBgn0085322:CG34293",-9.41143927113891,14.4623154074054,4413.55698276661,0,0
"FBgn0039558:BCAS2",-9.41143927113891,14.459535298351,4413.5569827645,0,0
"FBgn0023179:amon",-9.41143927113891,14.4695986123891,4413.55698281328,0,0
"FBgn0264291:Det",-9.41143927113891,14.4593133109797,4413.55698276999,0,0
"FBgn0085386:CG34357",-9.41143927113891,14.4604629167002,4413.55698276513,0,0
"FBgn0086346:ALiX",-9.41143927113891,14.4598562630959,4413.55698276711,0,0
"FBgn0015282:Rpt2",-9.41143927113891,14.4652684149107,4413.55698278456,0,0
"FBgn0039212:Syx18",-9.41143927113891,14.4610819343871,4413.55698276562,0,0
"FBgn0029088:disp",-9.41143927113891,14.4595540158556,4413.55698276435,0,0
"FBgn0037881:GCC88",-9.41143927113891,14.4608335920042,4413.55698277313,0,0
"FBgn0039776:PH4alphaEFB",-9.41143927113891,14.462263308582,4413.55698276721,0,0
"FBgn0004903:Rb97D",-9.41143927113891,14.4607637712965,4413.55698277443,0,0
"FBgn0022349:CG1910",-9.41143927113891,14.4642683608728,4413.55698277379,0,0
"FBgn0038128:Ravus",-9.41143927113891,14.4599490188447,4413.55698277054,0,0
"FBgn0037848:Tsp86D",-9.41143927113891,14.4611561226,4413.55698276495,0,0
"FBgn0013269:Fkbp39",-9.41143927113891,14.4600212964012,4413.5569827707,0,0
"FBgn0037942:CG14721",-9.41143927113891,14.4630216332897,4413.55698276672,0,0
"FBgn0038478:cal1",-9.41143927113891,14.459993222251,4413.5569827645,0,0
"FBgn0038316:CG6276",-9.41143927113891,14.4602519378898,4413.55698277473,0,0
"FBgn0039419:CG12290",-9.41143927113891,14.4598316291416,4413.55698276386,0,0
"FBgn0039698:CG7789",-9.41143927113891,14.4592681348035,4413.55698276836,0,0
"FBgn0037329:POLDIP2",-9.41143927113891,14.4658502330277,4413.55698277471,0,0
"FBgn0039270:PQBP1",-9.41143927113891,14.4600694643054,4413.55698276432,0,0
"FBgn0085376:CG34347",-9.41143927113891,14.4605263294101,4413.55698277194,0,0
"FBgn0023023:CRMP",-9.41143927113891,14.4618181016375,4413.55698277707,0,0
"FBgn0002780:mod",-9.41143927113891,14.4604542261629,4413.55698276813,0,0
"FBgn0037756:CG8507",-9.41143927113891,14.459425528417,4413.55698276504,0,0
"FBgn0037773:CG5359",-9.41143927113891,14.4594419276579,4413.55698276735,0,0
"FBgn0037902:CG5281",-9.41143927113891,14.4594163004913,4413.55698276731,0,0
"FBgn0038861:Trm7-34",-9.41143927113891,14.4592855276774,4413.55698276537,0,0
"FBgn0038295:Gyc88E",-9.41143927113891,14.4609484731074,4413.55698276598,0,0
"FBgn0038947:Sar1",-9.41143927113891,14.4727810540532,4413.55698286989,0,0
"FBgn0037376:Hat1",-9.41143927113891,14.4613806578677,4413.55698276577,0,0
"FBgn0037941:CG12594",-9.41143927113891,14.4618554934346,4413.55698277245,0,0
"FBgn0037809:CG12818",-9.41143927113891,14.4597913126838,4413.55698277112,0,0
"FBgn0051522:CG31522",-9.41143927113891,14.4614424944492,4413.55698276448,0,0
"FBgn0053203:CG33203",-9.41143927113891,14.4596834464622,4413.5569827711,0,0
"FBgn0037242:CG9855",-9.41143927113891,14.4602230123971,4413.55698276473,0,0
