"Gene","PValue","logFC"
"FBgn0045473:Gr85a",1,-16.6096404744368
"FBgn0039840:pHCl-2",1,-16.6096404744368
"FBgn0267767:lncRNA:CR46098",1,-16.6096404744368
"FBgn0037679:Aduk",1,-9.24036125502743
"FBgn0039282:Bili",1,-7.54597509110777
"FBti0062737:FB{}4676",1,-16.6096404744368
"FBgn0037896:ninaG",1,-11.2144187970452
"FBti0019337:roo{}1265",1,-16.6096404744368
"FBti0062387:Cr1a{}4326",1,-16.6096404744368
"FBgn0266668:Exo84",1,-8.65831025799077
"FBgn0037363:Atg17",0.938100249450724,-6.49292597355207
"FBgn0014018:Rel",1,-16.6096404744368
"FBgn0037552:CG7800",1,-16.6096404744368
"FBgn0037488:CG14607",1,-16.6096404744368
"FBgn0267144:lncRNA:CR45584",1,-16.6096404744368
"FBgn0085812:lncRNA:CR41601",1,-16.6096404744368
"FBgn0038597:CG8064",1,-11.2144187970452
"FBgn0266564:lncRNA:CR45103",1,-16.6096404744368
"FBgn0263527:mir-4908",1,-16.6096404744368
"FBgn0263408:asRNA:CR43454",1,-16.6096404744368
"FBgn0082582:tmod",1,-7.15958648893902
"FBgn0011960:tRNA:Arg-ACG-1-9",1,-16.6096404744368
"FBgn0051494:tRNA:Gly-TCC-1-1",1,-16.6096404744368
"FBgn0261452:scaRNA:MeU2-G25",1,-16.6096404744368
"FBgn0040279:Osi14",1,-16.6096404744368
"FBgn0261844:pre-mod(mdg4)-V",1,-16.6096404744368
"FBgn0002868:MtnA",1,-8.92017935717114
"FBgn0037589:Obp85a",1,-16.6096404744368
"FBgn0038468:CG5225",1,-16.6096404744368
"FBgn0010389:htl",1,-9.24036125502743
"FBgn0039371:CG4960",1,-16.6096404744368
"FBgn0051333:tRNA:Thr-CGT-1-3",1,-16.6096404744368
"FBgn0262904:asRNA:CR43259",1,-8.92017935717114
"FBti0019322:micropia{}1243",1,-16.6096404744368
"FBti0215198:1360{}6419",1,-11.2144187970452
"FBgn0259152:Clbn",1,-8.65831025799077
"FBgn0011858:tRNA:Phe-GAA-1-8",1,-16.6096404744368
"FBgn0051560:CG31560",1,-16.6096404744368
"FBti0062057:INE-1{}3996",1,-16.6096404744368
"FBgn0037782:Npc2d",1,-16.6096404744368
"FBgn0039347:CG5071",1,-8.65831025799077
"FBgn0037668:CG16736",1,-16.6096404744368
"FBgn0038881:aus",0.977799367827916,-5.07870082261602
"FBgn0011669:Mst57Db",1,-16.6096404744368
"FBgn0038796:eIF3g2",1,-16.6096404744368
"FBti0063752:INE-1{}5691",1,-16.6096404744368
"FBgn0038014:CG10041",1,-16.6096404744368
"FBtr0304322_df_nrg:FBtr0304322_df_nrg",1,-16.6096404744368
"FBgn0267782:lncRNA:CR46113",1,-16.6096404744368
"FBgn0266382:asRNA:CR45024",1,-16.6096404744368
"FBgn0038210:CG3199",1,-16.6096404744368
"FBgn0041621:Or82a",1,-16.6096404744368
"FBgn0037911:CG10898",1,-8.65831025799077
"FBti0215192:1360{}6413",1,-16.6096404744368
"FBgn0266697:lncRNA:CR45187",1,-16.6096404744368
"FBgn0037685:Or85f",1,-16.6096404744368
"FBti0061890:INE-1{}3829",1,-16.6096404744368
"FBgn0039015:Takl2",1,-16.6096404744368
"FBgn0037254:sac",1,-16.6096404744368
"FBgn0263500:lncRNA:CR43489",1,-16.6096404744368
"FBgn0267805:lncRNA:CR46130",1,-16.6096404744368
"FBgn0266137:Dop1R2",0.334810792102756,-7.24692042053527
"FBgn0053337:CG33337",1,-16.6096404744368
"FBti0062854:H{}4793",1,-16.6096404744368
"FBgn0038460:CG18622",1,-9.65249311449712
"FBti0020375:invader1{}1341",1,-16.6096404744368
"FBgn0261053:Cad86C",1,-16.6096404744368
"FBtr0304423_df_nrg:FBtr0304423_df_nrg",1,-16.6096404744368
"FBgn0037375:kat-60L1",1,-10.2316618330772
"FBgn0014930:CG2846",1,-8.24473071691295
"FBti0019308:pogo{}1225",1,-16.6096404744368
"FBgn0037626:CG8236",1,-16.6096404744368
"FBgn0051471:tRNA:Thr-AGT-1-7",1,-16.6096404744368
"FBgn0051051:CG31051",1,-6.66268856020116
"FBgn0267694:lncRNA:CR46030",1,-16.6096404744368
"FBti0059891:INE-1{}1830",1,-16.6096404744368
"FBgn0263525:mir-4911",1,-16.6096404744368
"FBgn0286204:ich",1,-16.6096404744368
"FBgn0266733:asRNA:CR45206",1,-16.6096404744368
"FBgn0045035:tefu",1,-16.6096404744368
"FBti0215171:1360{}6392",1,-16.6096404744368
"FBgn0037754:CG8500",1,-7.15958648893902
"FBgn0265425:lncRNA:CR44337",1,-16.6096404744368
"FBgn0051017:PH4alphaNE3",1,-16.6096404744368
"FBgn0267769:lncRNA:CR46100",1,-16.6096404744368
"FBgn0039795:Spn100A",1,-16.6096404744368
"FBgn0038476:kuk",1,-9.24036125502743
"FBgn0037461:CG15177",1,-16.6096404744368
"FBgn0051407:CG31407",1,-16.6096404744368
"FBgn0039003:wfs1",1,-10.2316618330772
"FBgn0267721:asRNA:CR46054",1,-16.6096404744368
"FBgn0039731:Sas-6",1,-16.6096404744368
"FBgn0038003:CG3916",1,-16.6096404744368
"FBgn0087013:Karybeta3",1,-9.24036125502743
"FBgn0259733:tal-AA",1,-16.6096404744368
"FBgn0266176:pre-mod(mdg4)-J",1,-16.6096404744368
"FBgn0038302:CG4210",1,-16.6096404744368
"FBgn0051451:lncRNA:CR31451",0.000436305157851705,-1.6754201830203
"FBti0215205:1360{}6426",1,-16.6096404744368
"FBgn0263596:CG43618",1,-16.6096404744368
"FBgn0037424:Osi15",1,-16.6096404744368
"FBgn0051076:CG31076",1,-16.6096404744368
"FBti0063792:INE-1{}5731",1,-16.6096404744368
"FBgn0002735:E(spl)mgamma-HLH",1,-16.6096404744368
"FBgn0051514:asRNA:CR31514",1,-16.6096404744368
"FBgn0038462:EMC2A",1,-8.65831025799077
"FBgn0039584:beat-VI",0.63956291540223,-5.52053059934829
"FBgn0028487:f-cup",1,-9.65249311449712
"FBgn0044511:mRpS21",1,-6.99933895378183
"FBti0019324:X{}1245",1,-11.2144187970452
"FBgn0039522:CG13972",1,-16.6096404744368
"FBtr0472760_df_nrg:FBtr0472760_df_nrg",1,-16.6096404744368
"FBgn0051542:CG31542",1,-16.6096404744368
"RR42049_transposable_element:Doc{}RR42049",1,-16.6096404744368
"FBgn0085328:CG34299",1,-16.6096404744368
"FBgn0038447:CG14892",1,-16.6096404744368
"FBgn0037822:CG14683",1,-16.6096404744368
"FBgn0037504:CG1142",1,-7.33988374124203
"FBgn0037963:Cad87A",1,-7.43925248012113
"FBgn0267776:asRNA:CR46107",1,-16.6096404744368
"FBgn0039368:CG17196",1,-16.6096404744368
"FBgn0042102:CG18745",1,-16.6096404744368
"FBti0019443:Rt1b{}CG34353[Rt1b1437]",1,-16.6096404744368
"FBgn0037677:CG12951",1,-16.6096404744368
"FBgn0038499:Brf",1,-9.65249311449712
"FBgn0262331:mir-999",1,-16.6096404744368
"FBgn0037572:CG11698",1,-16.6096404744368
"FBgn0266916:Cenp-C",1,-11.2144187970452
"FBgn0038887:CG7907",1,-16.6096404744368
"FBgn0040227:eIF3d1",1,-8.43675077520343
"FBgn0039312:CG10514",1,-8.92017935717114
"FBgn0051282:tRNA:Thr-AGT-1-4",1,-16.6096404744368
"FBgn0039599:intr",1,-16.6096404744368
"FBgn0037688:CG9356",1,-8.92017935717114
"FBgn0044823:Spec2",1,-10.2316618330772
"FBgn0013813:Dhc98D",1,-16.6096404744368
"FBgn0039081:Irk2",0.537722758010086,-6.03871133972517
"FBgn0011962:tRNA:Arg-ACG-1-7",1,-16.6096404744368
"FBgn0263400:CG43446",1,-16.6096404744368
"FBgn0266747:lncRNA:CR45220",1,-16.6096404744368
"RR48371_transposable_element:297{}RR48371",1,-16.6096404744368
"FBgn0038331:Ccm3",0.816433431086157,-6.07821335872265
"FBgn0267217:lncRNA:CR45657",1,-16.6096404744368
"FBgn0038515:CG5823",1,-6.92543066547546
"FBgn0039108:CG10232",1,-16.6096404744368
"FBgn0025574:Pli",1,-6.11882749311455
"FBgn0263652:lncRNA:CR43643",1,-16.6096404744368
"FBgn0039298:to",1,-16.6096404744368
"FBgn0038914:fit",1,-16.6096404744368
"FBgn0038760:MED25",1,-11.2144187970452
"FBtr0309673_df_nrg:FBtr0309673_df_nrg",1,-16.6096404744368
"FBti0060443:1360{}2382",1,-16.6096404744368
"FBgn0014861:Mcm2",1,-16.6096404744368
"FBgn0037892:mRpL40",0.980426522675144,-7.15958648893902
"FBgn0010803:TrpRS",1,-8.07529202913998
"FBgn0264985:lncRNA:CR44136",1,-16.6096404744368
"FBgn0051122:CG31122",1,-10.2316618330772
"FBgn0286199:shps",1,-16.6096404744368
"FBgn0038173:Adgf-C",1,-11.2144187970452
"FBgn0267133:lncRNA:CR45573",1,-16.6096404744368
"FBgn0038354:CG5404",1,-8.92017935717114
"FBgn0004779:Ccp84Ae",1,-16.6096404744368
